date,name,iso,lat,long,confirmed,deaths,recovered,active,fatality_rate,last_update
2020-03-01,China,CHN,31.6927,88.0924,1,0,1,0,0.0,2020-02-12 06:43:02
2020-03-01,Monaco,MCO,43.7384,7.4246,1,0,0,1,0.0,2020-02-29 00:33:01
2020-03-01,Nepal,NPL,28.3949,84.1240,1,0,1,0,0.0,2020-02-12 14:43:03
2020-03-01,New Zealand,NZL,-40.9006,174.8860,1,0,0,1,0.0,2020-02-28 16:23:03
2020-03-01,Nigeria,NGA,9.0820,8.6753,1,0,0,1,0.0,2020-02-28 16:23:03
2020-03-01,North Macedonia,MKD,41.6086,21.7453,1,0,0,1,0.0,2020-02-27 16:23:03
2020-03-01,San Marino,SMR,43.9424,12.4578,1,0,0,1,0.0,2020-03-01 07:13:07
2020-03-01,Sri Lanka,LKA,7.8731,80.7718,1,0,1,0,0.0,2020-02-08 03:43:03
2020-03-01,US,USA,42.3601,-71.0589,1,0,1,0,0.0,2020-02-28 21:13:12
2020-03-01,US,USA,40.7450,-123.8695,1,0,0,1,0.0,2020-02-21 05:13:09
2020-03-01,US,USA,34.0522,-118.2437,1,0,0,1,0.0,2020-02-01 19:53:03
2020-03-01,US,USA,43.0731,-89.4012,1,0,0,1,0.0,2020-02-05 21:53:02
2020-03-01,US,USA,33.7879,-117.8531,1,0,0,1,0.0,2020-02-01 19:53:03
2020-03-01,US,USA,45.5051,-122.6750,1,0,0,1,0.0,2020-02-29 02:23:11
2020-03-01,US,USA,41.8240,-71.4128,1,0,0,1,0.0,2020-03-01 15:33:03
2020-03-01,US,USA,29.4241,-98.4936,1,0,0,1,0.0,2020-02-13 18:53:02
2020-03-01,US,USA,33.4255,-111.9400,1,0,1,0,0.0,2020-02-25 21:23:03
2020-03-01,Australia,AUS,35.4437,139.6380,0,0,0,0,0.0,2020-02-29 02:03:10
2020-03-01,US,USA,29.3829,-98.6134,0,0,0,0,0.0,2020-02-24 23:33:02
2020-03-01,US,USA,41.2545,-95.9758,0,0,0,0,0.0,2020-02-24 23:33:02
2020-03-01,US,USA,38.2721,-121.9399,0,0,0,0,0.0,2020-02-24 23:33:02
2020-04-01,US,USA,33.8569,-80.9450,1293,26,0,1267,0.0201,2020-04-01 21:58:49
2020-04-01,US,USA,31.1695,-91.8678,6424,273,0,6151,0.0425,2020-04-01 21:58:49
2020-04-01,US,USA,37.7693,-78.1700,1483,34,0,1449,0.0229,2020-04-01 21:58:49
2020-04-01,US,USA,44.2405,-114.4788,566,9,0,557,0.0159,2020-04-01 21:58:49
2020-04-01,US,USA,42.0115,-93.2105,547,9,0,538,0.0165,2020-04-01 21:58:49
2020-04-01,US,USA,38.4561,-92.2884,1613,18,0,1595,0.0112,2020-04-01 21:58:49
2020-04-01,US,USA,35.5653,-96.9289,721,30,0,691,0.0416,2020-04-01 21:58:49
2020-04-01,US,USA,39.0598,-105.3111,2982,69,0,2913,0.0231,2020-04-01 21:58:49
2020-04-01,US,USA,40.3495,-88.9861,6980,141,0,6839,0.0202,2020-04-01 21:58:49
2020-04-01,US,USA,39.8494,-86.2583,2564,65,0,2499,0.0254,2020-04-01 21:58:49
2020-04-01,US,USA,32.7416,-89.6787,1073,22,0,1051,0.0205,2020-04-01 21:58:49
2020-04-01,US,USA,41.1254,-98.2681,210,4,0,206,0.019,2020-04-01 21:58:49
2020-04-01,US,USA,40.5908,-77.2098,6009,74,0,5935,0.0123,2020-04-01 21:58:49
2020-04-01,US,USA,47.4009,-121.4905,5608,234,0,5374,0.0417,2020-04-01 21:58:49
2020-04-01,US,USA,44.0459,-72.7107,321,16,0,305,0.0498,2020-04-01 21:58:49
2020-04-01,US,USA,27.7663,-81.6868,6956,87,0,6869,0.0125,2020-04-01 21:58:49
2020-04-01,US,USA,35.6301,-79.8064,1675,14,0,1661,0.0084,2020-04-01 21:58:49
2020-04-01,US,USA,36.1162,-119.6816,9399,199,0,9200,0.0212,2020-04-01 21:58:49
2020-04-01,US,USA,42.1657,-74.9481,83948,1941,0,82007,0.0231,2020-04-01 21:58:49
2020-04-01,US,USA,42.7560,-107.3025,130,0,0,130,0.0,2020-04-01 21:58:49
2020-04-01,US,USA,43.3266,-84.5361,9315,335,0,8980,0.036,2020-04-01 21:58:49
2020-04-01,US,USA,37.6681,-84.6701,632,18,0,614,0.0285,2020-04-01 21:58:49
2020-04-01,US,USA,40.3888,-82.7649,2547,65,0,2482,0.0255,2020-04-01 21:58:49
2020-04-01,US,USA,61.3707,-152.4044,132,3,0,129,0.0227,2020-04-01 21:58:49
2020-04-01,US,USA,35.7478,-86.6923,2933,24,0,2909,0.0082,2020-04-01 21:58:49
2020-04-01,US,USA,31.0545,-97.5635,4355,66,0,4289,0.0152,2020-04-01 21:58:49
2020-04-01,US,USA,44.6939,-69.3819,303,5,0,298,0.0165,2020-04-01 21:58:49
2020-04-01,US,USA,39.0639,-76.8021,1986,31,0,1955,0.0156,2020-04-01 21:58:49
2020-04-01,US,USA,45.6945,-93.9002,689,17,0,672,0.0247,2020-04-01 21:58:49
2020-04-01,US,USA,33.7298,-111.4312,1530,29,0,1501,0.019,2020-04-01 21:58:49
2020-04-01,US,USA,33.0406,-83.6431,4638,139,0,4499,0.03,2020-04-01 21:58:49
2020-04-01,US,USA,34.9697,-92.3731,584,10,0,574,0.0171,2020-04-01 21:58:49
2020-04-01,US,USA,44.2685,-89.6165,1556,27,0,1529,0.0174,2020-04-01 21:58:49
2020-04-01,US,USA,38.5266,-96.7265,485,10,0,475,0.0206,2020-04-01 21:58:49
2020-04-01,US,USA,40.2989,-74.5210,22255,355,0,21900,0.016,2020-04-01 21:58:49
2020-04-01,US,USA,44.2998,-99.4388,129,2,0,127,0.0155,2020-04-01 21:58:49
2020-04-01,US,USA,32.3182,-86.9023,1060,27,0,1033,0.0255,2020-04-01 21:58:49
2020-04-01,US,USA,38.4912,-80.9545,191,1,0,190,0.0052,2020-04-01 21:58:49
2020-04-01,US,USA,47.5289,-99.7840,142,3,0,139,0.0211,2020-04-01 21:58:49
2020-04-01,US,USA,42.2302,-71.5301,7738,122,0,7616,0.0158,2020-04-01 21:58:49
2020-04-01,US,USA,43.4525,-71.5639,367,3,0,364,0.0082,2020-04-01 21:58:49
2020-04-01,US,USA,44.5720,-122.0709,736,19,0,717,0.0258,2020-04-01 21:58:49
2020-04-01,US,USA,34.8405,-106.2485,340,5,0,335,0.0147,2020-04-01 21:58:49
2020-04-01,US,USA,40.1500,-111.8624,888,5,0,883,0.0056,2020-04-01 21:58:49
2020-04-01,US,USA,41.6809,-71.5118,566,10,0,556,0.0177,2020-04-01 21:58:49
2020-04-01,US,USA,46.9219,-110.4544,208,6,0,202,0.0288,2020-04-01 21:58:49
2020-04-01,US,USA,38.3135,-117.0554,1279,31,0,1248,0.0242,2020-04-01 21:58:49
2020-04-01,US,USA,38.8974,-77.0268,586,9,0,577,0.0154,2020-04-01 21:58:49
2020-04-01,US,USA,41.5978,-72.7554,3557,85,0,3472,0.0239,2020-04-01 21:58:49
2020-04-01,US,USA,21.0943,-157.4983,224,1,0,223,0.0045,2020-04-01 21:58:49
2020-04-01,US,USA,39.3185,-75.5071,368,11,0,357,0.0299,2020-04-01 21:58:49
2020-04-01,Canada,CAN,53.9333,-116.5765,754,9,0,745,0.0119,2020-04-01 22:04:44
2020-04-01,United Kingdom,GBR,18.2206,-63.0686,2,0,0,2,0.0,2020-04-01 21:58:34
2020-04-01,China,CHN,31.8257,117.2264,990,6,984,0,0.0061,2020-03-08 05:19:01
2020-04-01,Netherlands,NLD,12.5211,-69.9683,55,0,1,54,0.0,2020-04-01 21:58:34
2020-04-01,Australia,AUS,-35.4735,149.0124,84,1,8,75,0.0119,2020-04-01 22:04:58
2020-04-01,China,CHN,40.1824,116.4142,580,8,418,154,0.0138,2020-04-01 00:55:49
2020-04-01,United Kingdom,GBR,32.3078,-64.7505,32,0,10,22,0.0,2020-04-01 21:58:34
2020-04-01,Canada,CAN,53.7267,-127.6476,1013,24,0,989,0.0237,2020-04-01 22:04:44
2020-04-01,United Kingdom,GBR,18.4207,-64.64,3,0,0,3,0.0,2020-04-01 21:58:34
2020-04-01,United Kingdom,GBR,19.3133,-81.2546,22,1,0,21,0.0455,2020-04-01 21:58:34
2020-04-01,United Kingdom,GBR,49.3723,-2.3644,172,3,0,169,0.0174,2020-04-01 21:58:34
2020-04-01,China,CHN,30.0572,107.8740,579,6,570,3,0.0104,2020-03-29 00:14:12
2020-04-01,Netherlands,NLD,12.1696,-68.9900,11,1,3,7,0.0909,2020-04-01 21:58:34
2020-04-01,Canada,CAN,0.0,0.0,0,1,0,-1,0.0,2020-04-01 22:04:44
2020-04-01,US,USA,35.4437,139.6380,49,0,0,49,0.0,2020-04-01 21:58:49
2020-04-01,Denmark,DNK,61.8926,-6.9118,173,0,75,98,0.0,2020-04-01 21:58:34
2020-04-01,France,FRA,4.0000,-53.0000,51,0,15,36,0.0,2020-04-01 21:58:34
2020-04-01,France,FRA,-17.6797,-149.4068,37,0,0,37,0.0,2020-04-01 21:58:34
2020-04-01,China,CHN,26.0789,117.9874,345,1,298,46,0.0029,2020-04-01 11:54:10
2020-04-01,China,CHN,36.0611,103.8343,138,2,127,9,0.0145,2020-04-01 14:00:34
2020-04-01,United Kingdom,GBR,36.1408,-5.3536,81,0,34,47,0.0,2020-04-01 21:58:34
2020-04-01,Canada,CAN,37.6489,-122.6655,13,0,0,13,0.0,2020-04-01 22:04:44
2020-04-01,US,USA,37.6489,-122.6655,103,3,0,100,0.0291,2020-04-01 21:58:49
2020-04-01,Denmark,DNK,71.7069,-42.6043,10,0,2,8,0.0,2020-04-01 21:58:34
2020-04-01,France,FRA,16.2500,-61.5833,125,6,24,95,0.048,2020-04-01 21:58:34
2020-04-01,US,USA,13.4443,144.7937,77,3,0,74,0.039,2020-04-01 21:58:49
2020-04-01,China,CHN,23.3417,113.4244,1501,8,1357,136,0.0053,2020-04-01 05:36:53
2020-04-01,China,CHN,23.8298,108.7881,254,2,250,2,0.0079,2020-03-20 04:33:45
2020-04-01,China,CHN,26.8154,106.8748,146,2,144,0,0.0137,2020-03-18 01:37:43
2020-04-01,China,CHN,19.1959,109.7453,168,6,162,0,0.0357,2020-03-24 04:29:15
2020-04-01,China,CHN,38.0428,114.5149,323,6,310,7,0.0186,2020-04-01 00:13:24
2020-04-01,China,CHN,47.8620,127.7615,484,13,469,2,0.0269,2020-03-26 00:15:39
2020-04-01,China,CHN,33.8820,113.6140,1276,22,1251,3,0.0172,2020-03-29 01:44:01
